,District_Name,SCHOOL,Gender,2011_Total,%0-5_Points,%6-10_Points,%11-15_Points,%16-20_Points,%21-25_Points,2012_Total,%0-5_Points.1,%6-10_Points.1,%11-15_Points.1,%16-20_Points.1,%21-25_Points.1,2013_Total,%0-5_Points.2,%6-10_Points.2,%11-15_Points.2,%16-20_Points.2,2014_Total,%0-5_Points.3,%6-10_Points.3,%11-15_Points.3,%16-20_Points.3,2015_Total,%0-5_Points.4,%6-10_Points.4,%11-15_Points.4,%16-20_Points.4
2,AMUDAT_Total,POKOT_SECONDARY_SCHOOL,Total,0.0,0.0,0.0,0.0,0.0,0.0,11.0,27.3,63.6,9.1,0.0,0.0,22.0,72.7,27.3,0.0,0.0,11.0,54.5,36.4,9.1,0.0,,20.0,40.0,40.0,0.0
9,PADER_Total,PAJULE_SECONDARY_SCHOOL,Total,20.0,45.0,45.0,0.0,10.0,0.0,50.0,32.0,44.0,20.0,4.0,0.0,116.0,44.8,36.2,19.0,0.0,53.0,49.1,37.7,13.2,0.0,77.0,43.8,42.9,10.4,0.0
24,SERERE_Total,"SUNRISE_HIGH_SCHOOL,SERERE",Total,52.0,59.6,28.8,9.6,1.9,0.0,101.0,32.7,47.5,14.9,5.0,0.0,300.0,54.0,39.3,4.7,2.0,142.0,40.1,49.3,8.5,2.1,159.0,47.0,38.4,5.7,0.0
39,RUBIRIZI_Total,"ST.MICHAEL_HIGH_SCHOOL,RUGAZI",Total,124.0,18.5,50.8,21.8,8.9,0.0,183.0,19.1,43.7,26.2,10.4,0.5,532.0,45.9,38.7,13.9,1.5,207.0,32.4,42.5,20.8,4.3,210.0,34.1,40.0,18.6,3.3
104,MITYANA_Total,WAMALA_HIGH_SCHOOL,Total,1743.0,16.8,34.4,30.1,15.7,2.9,1800.0,16.6,36.0,29.6,14.7,3.2,3844.0,31.3,43.3,21.0,4.5,1905.0,28.5,39.5,24.8,7.3,1817.0,24.8,46.5,22.7,3.5
111,NWOYA_Total,"POPE_PAUL_VI_SECONDARY_SCHOOL,ANAKA",Total,105.0,37.1,52.4,9.5,0.0,1.0,87.0,32.2,49.4,11.5,6.9,0.0,168.0,60.7,32.1,6.0,1.2,72.0,62.5,25.0,11.1,1.4,67.0,64.8,31.3,0.0,0.0
134,NAKASEKE_Total,TIMUNA_SECONDARY_SCHOOL,Total,497.0,19.7,44.5,24.9,9.9,1.0,537.0,20.1,44.7,27.6,6.5,1.1,1048.0,42.4,40.3,15.6,1.7,490.0,37.6,40.8,19.6,2.0,445.0,30.9,41.3,23.1,1.6
213,BUIKWE_Total,"VICTORIA_SECONDARY_SCHOOL,SSI-BUKUNJA",Total,2164.0,17.8,31.6,31.8,16.3,2.5,2340.0,16.8,33.8,31.3,15.4,2.6,5086.0,31.7,39.2,24.9,4.2,2380.0,26.8,35.0,29.2,9.1,2264.0,24.4,48.1,22.4,2.1
300,JINJA_Total,WANYANGE_GIRLS_SCHOOL,Total,3329.0,25.8,34.8,25.9,12.2,1.4,3765.0,26.6,39.0,23.0,9.7,1.7,7492.0,41.3,39.6,16.8,2.3,3604.0,34.7,38.3,21.9,5.2,3019.0,33.8,43.7,16.5,1.5
331,GULU._Total,"TRINITY_COLLEGE,GULU",Total,1263.0,29.4,38.5,25.6,6.4,0.2,1273.0,24.0,42.2,27.6,6.1,0.2,2444.0,39.6,41.4,17.8,1.2,994.0,35.3,42.5,20.3,1.9,921.0,37.5,48.1,10.4,0.4
